Field=DB_VALUE~String~DB_VALUE~100|Field=Quantity~Integer~Quantity~57|Field=DB_DESCRIPTION~String~DB_DESCRIPTION~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Goldstrike1_Rev01.PrjPCB|ReportField=ProjectFullPath~D:\HOME\nsy\My Documents\New Folder\Goldstrike1_Rev01\Goldstrike1_Rev01.PrjPCB|ReportField=Title~Bill of Materials For Project [Goldstrike1_Rev01.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~673|ReportField=ReportTime~12:33:56|ReportField=ReportDate~28.5.2014 ã.|ReportField=ReportDateTime~28.5.2014 ã. 12:33:56|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Drawing Type|ReportField=Address2~Address 1|ReportField=Address3~Address 2|ReportField=Address4~Address 3|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~Integrated Micro-Electronics Bulgaria|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~28.5.2014 ã.|ReportField=CurrentTime~12:24:35|ReportField=Date~Date|ReportField=DocumentFullPathAndName~D:\HOME\nsy\My Documents\New Folder\Goldstrike1_Rev01\GS_01_Core.SchDoc|ReportField=DocumentName~GS_01_Core.SchDoc|ReportField=DocumentNumber~730xxx|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~28.5.2014 ã.|ReportField=Organization~Design & Development Department|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=0.70|XCorrection=1.00|YCorrection=1.00|PrintKind=2|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=-4|MediaType=1|DitherType=10|PaperKind=A4|PrintScaleMode=1|ReportField=ProjectName~Goldstrike1_Rev01.PrjPCB|ReportField=Revision~01|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetSize~A3|ReportField=SheetTotal~1|ReportField=Time~Time|ReportField=Title~Title|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~Goldstrike1_Rev01.PrjPCB|ReportField=DataSourceFullPath~D:\HOME\nsy\My Documents\New Folder\Goldstrike1_Rev01\Goldstrike1_Rev01.PrjPCB
|16|
|2|
100nF |24|C X7R 100nF 20% 16V 0402
100uF |64|C X5R 100uF 20% 6.3V 1210
100_254|74|Test Point 100_254
1N4448HWT|16|D 1N4448HWT SOD523
1nF , 10uF , 1nF , 18pF , 18pF , 10uF , 10uF , 470nF , 10uF , 10uF , 10uF , 10uF , 100nF , 100nF , 100nF , 100nF , 10uF , 10uF , 10uF , 10uF , 100nF , 100nF , 100nF , 100nF , 10uF , 10uF , 10uF , 10uF , 100nF , 100nF , 100nF , 100nF , 10uF , 10uF , 10uF , 10uF , 100nF , 100nF , 100nF , 100nF , 100nF , 10nF , 100nF , 10nF , 100nF , 10nF , 100nF , 10nF , 100nF , 10nF , 100nF , 10nF , 100nF , 10nF , 100nF , 10nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 470nF , 1uF |160|C X7R 1nF 5% 25V 0603, C X5R 10uF 20% 6.3V 0603, C X7R 1nF 5% 25V 0603, C C0G 18pF 5% 50V 0603, C C0G 18pF 5% 50V 0603, C X5R 10uF 20% 6.3V 0603, C X5R 10uF 20% 6.3V 0603, C X7R 470nF 5% 16V 0603, C X5R 10uF 20% 6.3V 0603, C X5R 10uF 20% 6.3V 0603, C X5R 10uF 20% 6.3V 0603, C X5R 10uF 20% 6.3V 0603, C X7R 100nF 20% 25V 0603, C X7R 100nF 20% 25V 0603, C X7R 100nF 20% 25V 0603, C X7R 100nF 20% 25V 0603, C X5R 10uF 20% 6.3V 0603, C X5R 10uF 20% 6.3V 0603, C X5R 10uF 20% 6.3V 0603, C X5R 10uF 20% 6.3V 0603, C X7R 100nF 20% 25V 0603, C X7R 100nF 20% 25V 0603, C X7R 100nF 20% 25V 0603, C X7R 100nF 20% 25V 0603, C X5R 10uF 20% 6.3V 0603, C X5R 10uF 20% 6.3V 0603, C X5R 10uF 20% 6.3V 0603, C X5R 10uF 20% 6.3V 0603, C X7R 100nF 20% 25V 0603, C X7R 100nF 20% 25V 0603, C X7R 100nF 20% 25V 0603, C X7R 100nF 20% 25V 0603, C X5R 10uF 20% 6.3V 0603, C X5R 10uF 20% 6.3V 0603, C X5R 10uF 20% 6.3V 0603, C X5R 10uF 20% 6.3V 0603, C X7R 100nF 20% 25V 0603, C X7R 100nF 20% 25V 0603, C X7R 100nF 20% 25V 0603, C X7R 100nF 20% 25V 0603, C X7R 100nF 10% 16V 0603, C C0G 10nF 20% 10V 0603, C X7R 100nF 10% 16V 0603, C C0G 10nF 20% 10V 0603, C X7R 100nF 10% 16V 0603, C C0G 10nF 20% 10V 0603, C X7R 100nF 10% 16V 0603, C C0G 10nF 20% 10V 0603, C X7R 100nF 10% 16V 0603, C C0G 10nF 20% 10V 0603, C X7R 100nF 10% 16V 0603, C C0G 10nF 20% 10V 0603, C X7R 100nF 10% 16V 0603, C C0G 10nF 20% 10V 0603, C X7R 100nF 10% 16V 0603, C C0G 10nF 20% 10V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X7R 470nF 5% 16V 0603, C X5R 1uF 20% 6.3V 0603
220 Ohms|9|INDUC 220 Ohms 25% 0805
220uF |177|C X5R 220uF 20% 6.3V 1210
22uF |2|C X5R 22uF 20% 6.3V 0805
